OBJECTID,CTYUA21CD,CTYUA21NM,CTYUA21NMW,BNG_E,BNG_N,LONG,LAT,GlobalID,SHAPE_Length,SHAPE_Area
99,E09000004,Bexley, ,549202,175434,0.146212,51.458221,{B8891250-6925-4665-B9A0-EEDF9D1F4A0D},47959.4902384452,60578408.3854902
100,E09000005,Brent, ,519615,186465,-0.27568001,51.564381,{F2424D90-A972-481F-93E8-853BD38328B7},38441.4621103205,43236364.4997335
101,E09000006,Bromley, ,542036,165707,0.039246,51.372662,{F186DBD5-46C3-4345-A0F1-E0246CB85EA9},76225.7196547586,150132482.603206
102,E09000007,Camden, ,527491,184283,-0.16291,51.543049,{FCD1C1D9-2B83-44DA-BC0A-ACBE68166CA7},26245.739181562,21778579.6560004
103,E09000008,Croydon, ,533922,164744,-0.077610001,51.365971,{22A1873A-29A3-4F49-AB58-738804B381C2},58721.1957720401,86488720.6605294
104,E09000009,Ealing, ,517055,181959,-0.3141,51.524422,{9FB3851A-387F-4459-B5BF-7CE312404AC1},47461.4174836169,55542068.9728746
105,E09000010,Enfield, ,532831,196198,-0.081440002,51.648891,{0506E146-1F0E-4161-B603-7B83E4DD4865},41091.4717649011,82190329.6982779
106,E09000011,Greenwich, ,542507,175878,0.050092999,51.46394,{A80FEC06-A6E1-4EBE-9D3F-8C95CC7FC783},47635.2867733161,47311233.3829883
107,E09000012,Hackney, ,534560,185787,-0.060449999,51.55492,{30673214-DC76-4EEA-A875-B773B26B6509},25441.8544430666,19043878.1759467
108,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735001,51.487331,{A0E67461-BF53-43DA-B20F-D029242F11D5},24008.09587154,16403288.6433932
109,E09000014,Haringey, ,531260,189349,-0.1067,51.587711,{B9811EE2-FB7F-4EA6-9909-38B6E18BE0AC},29085.5089573245,29606188.7568539
110,E09000015,Harrow, ,515359,189736,-0.33598,51.594669,{DCCCAF8A-6052-4CA3-94FC-196B9135321E},33811.7912858702,50464270.393498
111,E09000016,Havering, ,555032,187514,0.235368,51.565189,{A10CF939-0395-45FF-9887-B06AE1E7789A},63722.7137240531,112343558.252949
112,E09000017,Hillingdon, ,508166,183121,-0.44182,51.53664,{690D6672-D46E-4207-A90B-F1C59906E6B8},63941.0212862205,115704359.838712
113,E09000018,Hounslow, ,512737,174959,-0.37854999,51.462379,{ADAFF02D-D4BF-4D9C-8D8D-66022B93BF79},64533.8036505847,55962868.5597138
114,E09000019,Islington, ,531160,184645,-0.10989,51.54546,{69FDD403-37AF-4FCC-A1A8-656ABD93C473},20747.7400804081,14858041.7197012
115,E09000020,Kensington and Chelsea, ,525756,179058,-0.18977,51.496479,{8484AD77-53A9-45DF-B5EB-014B273D413C},21062.9409676591,12123771.9001363
116,E09000021,Kingston upon Thames, ,519508,167389,-0.28367001,51.39296,{BC7F2083-928F-465B-8E09-27239FFA73E7},37549.9217180313,37259416.9781001
117,E09000022,Lambeth, ,531118,175629,-0.11385,51.464451,{D3B53D89-CE1B-4B3F-AE94-F450734407BA},34048.7120363001,26807014.529104
